,DataYear,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore,TotalGHGEmissions,Latitude,Longitude,BuildingAge,Electricity,NaturalGas,SteamUse,GFAPerBuilding,GFAPerFloor,GFABuildingRate,GFAParkingRate,SiteEnergyUse(kBtu)
77,2015,NONRESIDENTIAL,Hotel,NORTHEAST,1.0,4.0,Hotel,51.0,196.34,47.65774638,-122.3175345,53.0,0.38717562892336593,0.6128405276967553,0.0,50017.0,12504.25,1.0,0.0,5570472.0
78,2015,SCHOOL,School,DELRIDGE,1.0,3.0,K-12 School,85.0,25.2,47.56261299,-122.3579283,16.0,0.8570344833898571,0.14300105150999096,0.0,74468.0,24822.666666666668,1.0,0.0,1857329.0
79,2015,NONRESIDENTIAL,School,EAST,1.0,3.0,K-12 School,43.0,63.95,47.6262348,-122.3081985,92.0,0.549369857351751,0.45065315323138055,0.0,67743.0,22581.0,1.0,0.0,2303288.0
80,2015,NONRESIDENTIAL,School,EAST,1.0,6.0,K-12 School,,229.98,47.62595722,-122.304164,107.0,0.30481816104295467,0.6951944028759829,0.0,194104.0,32350.666666666668,1.0,0.0,5889882.0
81,2016,NONRESIDENTIAL,Office,SOUTHEAST,1.0,3.0,Office,63.0,34.14,47.58408,-122.30125,13.0,1.0,0.0,0.0,99433.0,33144.333333333336,0.6404413021833798,0.35955869781662025,4897760.0
82,2015,SCHOOL,School,GREATER DUWAMISH,1.0,1.0,K-12 School,65.0,211.49,47.56301254,-122.3112112,58.0,0.36771853475068145,0.6322966757810223,0.0,130862.0,130862.0,1.0,0.0,5851209.0
83,2015,SCHOOL,School,SOUTHEAST,1.0,3.0,K-12 School,94.0,15.1,47.55446464,-122.2764003,26.0,0.9360815444916911,0.0639572373891512,0.0,59955.0,19985.0,1.0,0.0,1521329.0
84,2015,SCHOOL,School,MAGNOLIA / QUEEN ANNE,1.0,2.0,K-12 School,84.0,97.38,47.6367344,-122.3589452,51.0,0.4641861824468471,0.5358330195381825,0.0,93218.0,46609.0,1.0,0.0,3072599.0
85,2015,NONRESIDENTIAL,Other,NORTHEAST,1.0,4.0,Other,,44.92,47.6753048,-122.315342,74.0,1.0000412834496823,0.0,0.0,56521.0,14130.25,1.0,0.0,6443260.0
86,2015,NONRESIDENTIAL,Other,NORTHEAST,1.0,2.0,Other,,139.24,47.6756688,-122.3161909,86.0,0.4747576686435966,0.5252620535911388,0.0,206934.0,103467.0,1.0,0.0,4461969.0
87,2015,NONRESIDENTIAL,Hotel,NORTHWEST,1.0,4.0,Hotel,86.0,138.87,47.73127184,-122.3462382,14.0,0.37230713181026515,0.6277081345791742,0.0,51390.0,12847.5,1.0,0.0,3864699.0
